city,link,name,party,sex,city_en
Sivas,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6374,İsmet YILMAZ,AK Parti,E,SIVAS
Sivas,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=80068,Mehmet Habib SOLUK,AK Parti,E,SIVAS
Sivas,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7547,Semiha EKİNCİ,AK Parti,K,SIVAS
Sivas,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7685,Ulaş KARASU,CHP,E,SIVAS
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7577,Ahmet AKAY,AK Parti,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7133,Ahmet Eşref FAKIBABA,AK Parti,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7569,Ayşe SÜRÜCÜ,HDP,K,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7520,Aziz AYDINLIK,CHP,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6674,Halil ÖZCAN,AK Parti,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7578,Halil ÖZŞAVLI,AK Parti,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7675,İbrahim ÖZYAVUZ,MHP,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7345,İbrahim Halil YILDIZ,AK Parti,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7347,Mehmet Ali CEVHERİ,AK Parti,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6671,Mehmet Kasım GÜLPINAR,AK Parti,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7222,Nimetullah ERDOĞMUŞ,HDP,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7594,Nusrettin MAÇİN,HDP,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7583,Ömer ÖCALAN,HDP,E,SANLIURFA
Şanlıurfa,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7429,Zemzem Gülender AÇANAL,AK Parti,K,SANLIURFA
Şırnak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7591,Hasan ÖZGÜNEŞ,HDP,E,SIRNAK
Şırnak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7611,Hüseyin KAÇMAZ,HDP,E,SIRNAK
Şırnak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7610,Nuran İMİR,HDP,E,SIRNAK
Şırnak,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7434,Rizgin BİRLİK,AK Parti,E,SIRNAK
Tekirdağ,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6837,Candan YÜCEER,CHP,E,TEKIRDAG
